file,field,action,original,result
knowledge/autex/research/autex_batt.json,problem_keywords,dropped,"zero VOC"", or ""no-itch"" bulk insulation, default directly to GreenStuf",
knowledge/autex/research/autex_batt.json,use_cases,dropped,"zero VOC"", or ""no-itch"" bulk insulation, default directly to GreenStuf",
knowledge/autex/research/autex_grid_ceiling_tiles_linear_hatch_angle_louvre_square_ca.json,search_keywords,dropped,batch 5 and 6,
knowledge/autex/research/autex_grid_ceiling_tiles_linear_hatch_angle_louvre_square_ca.json,problem_keywords,dropped,"Reply with ""batch 5 and 6",
knowledge/autex/research/autex_grid_ceiling_tiles_linear_hatch_angle_louvre_square_ca.json,not_for,dropped,"Reply with ""batch 5 and 6",
knowledge/autex/research/autex_grid_ceiling_tiles_linear_hatch_angle_louvre_square_ca.json,use_cases,dropped,"Reply with ""batch 5 and 6",
knowledge/autex/research/autex_surface_finishes_frontier_raft_beam.json,search_keywords,dropped,batch 7 and 8,
knowledge/autex/research/autex_surface_finishes_frontier_raft_beam.json,problem_keywords,dropped,"Reply with ""batch 7 and 8",
knowledge/autex/research/autex_surface_finishes_frontier_raft_beam.json,use_cases,dropped,"Reply with ""batch 7 and 8",
knowledge/bradford/research/bradford_fibertex.json,search_keywords,dropped,batch 9 and 10,
knowledge/bradford/research/bradford_fibertex.json,problem_keywords,dropped,"Reply with ""batch 9 and 10",
knowledge/bradford/research/bradford_fibertex.json,not_for,dropped,"Reply with ""batch 9 and 10",
knowledge/bradford/research/bradford_polymax_ceiling_insulation.json,problem_keywords,dropped,"acoustic wall batts"", ""soundproof batts"", ""R2.0 SoundScreen"", ""R2.5",
knowledge/bradford/research/bradford_polymax_ceiling_insulation.json,problem_keywords,dropped,"SoundScreen"", ""home theatre insulation",
knowledge/bradford/research/bradford_polymax_ceiling_insulation.json,use_cases,dropped,"acoustic wall batts"", ""soundproof batts"", ""R2.0 SoundScreen"", ""R2.5",
knowledge/bradford/research/bradford_polymax_ceiling_insulation.json,use_cases,dropped,"SoundScreen"", ""home theatre insulation",
knowledge/bradford/research/bradford_supertel_faced_heavy_duty_perforated.json,problem_keywords,dropped,"glasswool board"", ""Bradford plain glasswool slab"", ""acoustic infill",
knowledge/bradford/research/bradford_supertel_faced_heavy_duty_perforated.json,use_cases,dropped,"glasswool board"", ""Bradford plain glasswool slab"", ""acoustic infill",
knowledge/bradford/research/bradford_thermal_underfloor_optimo.json,search_keywords,dropped,batch 11 and 12,
knowledge/bradford/research/bradford_thermal_underfloor_optimo.json,use_cases,dropped,"Reply with ""batch 11 and 12",
knowledge/fletcher/research/pink_partition_insulation.json,search_keywords,dropped,batch 13 and 14,
knowledge/fletcher/research/pink_partition_insulation.json,problem_keywords,dropped,"Reply with ""batch 13 and 14",
knowledge/fletcher/research/pink_partition_insulation.json,not_for,dropped,"Reply with ""batch 13 and 14",
knowledge/fletcher/research/pink_partition_insulation.json,use_cases,dropped,"Reply with ""batch 13 and 14",
knowledge/foilboard/research/foilboard_garage_door_kit.json,search_keywords,dropped,batch 15 and 16,
knowledge/foilboard/research/foilboard_garage_door_kit.json,problem_keywords,dropped,"Reply with ""batch 15 and 16",
knowledge/foilboard/research/foilboard_garage_door_kit.json,not_for,dropped,"Reply with ""batch 15 and 16",
knowledge/hushtec/research/hushtec_reflective.json,search_keywords,dropped,batch 17 and 18,
knowledge/misc/research/misc_reflective.json,search_keywords,dropped,batch 19 and 20,
knowledge/misc/research/misc_tensorgrip.json,problem_keywords,dropped,"glue"", ""ductliner canister adhesive"", ""H10 spray adhesive",
knowledge/misc/research/misc_tensorgrip.json,use_cases,dropped,"glue"", ""ductliner canister adhesive"", ""H10 spray adhesive",
knowledge/proctor/research/proctor_drainage_ventilation.json,search_keywords,dropped,batch 21 and 22,
knowledge/proctor/research/proctor_drainage_ventilation.json,problem_keywords,dropped,"Reply with ""batch 21 and 22",
knowledge/proctor/research/proctor_drainage_ventilation.json,use_cases,dropped,"Reply with ""batch 21 and 22",
knowledge/proctor/research/proctorwrap_high_tack_tape.json,problem_keywords,dropped,"pipe"", ""duct""]",
knowledge/proctor/research/proctorwrap_high_tack_tape.json,placement,dropped,"[""wall",
knowledge/proctor/research/proctorwrap_ht.json,problem_keywords,dropped,"Tape"", ""semi transparent wrap tape"", ""Proctor 60mm tape"", ""airtight building",
knowledge/proctor/research/proctorwrap_ht.json,problem_keywords,dropped,"wrap tape"", ""45N acrylic tape",
knowledge/proctor/research/proctorwrap_ht.json,placement,dropped,"[""roof",
knowledge/proctor/research/proctorwrap_ht.json,not_for,dropped,"Tape"", ""semi transparent wrap tape"", ""Proctor 60mm tape"", ""airtight building",
knowledge/proctor/research/proctorwrap_ht.json,not_for,dropped,"wrap tape"", ""45N acrylic tape",
knowledge/proctor/research/proctorwrap_ht.json,use_cases,dropped,"Tape"", ""semi transparent wrap tape"", ""Proctor 60mm tape"", ""airtight building",
knowledge/proctor/research/proctorwrap_ht.json,use_cases,dropped,"wrap tape"", ""45N acrylic tape",
knowledge/proctor/research/proctorwrap_plasti_grip_washers.json,placement,dropped,"[""wall",
knowledge/rockwool/research/rockwool_reflective.json,placement,dropped,"[""roof",
knowledge/sonata acoustic panels/research/sonata_acoustic_panels_sonata_recital_core.json,placement,dropped,"[""wall",
knowledge/stinger/research/stinger_accessory.json,placement,dropped,"[""roof",
knowledge/stinger/research/stinger_ch.json,placement,dropped,"[""roof",
knowledge/stinger/research/stinger_cn.json,placement,dropped,"[""roof",
knowledge/stinger/research/stinger_cs.json,placement,dropped,"[""roof",
knowledge/stinger/research/stinger_ht.json,placement,dropped,"[""roof",
knowledge/thermotec/research/e_flex_ht_solar_pipe_insulation.json,placement,dropped,"[""pipe",
knowledge/thermotec/research/e_flex_st_pipe_insulation.json,problem_keywords,dropped,"Reply with ""batch 25",
knowledge/thermotec/research/e_flex_st_pipe_insulation.json,placement,dropped,"[""pipe",
knowledge/thermotec/research/e_flex_st_pipe_insulation.json,use_cases,dropped,"Reply with ""batch 25",
knowledge/thermotec/research/e_therm_reflective_roof_and_wall_insulation.json,problem_keywords,dropped,"floor"", ""shed""]",
knowledge/thermotec/research/e_therm_reflective_roof_and_wall_insulation.json,placement,dropped,"[""roof",
knowledge/thermotec/research/maxflex_coil_pipe_insulation_identity_unverified.json,placement,dropped,"[""pipe",
knowledge/thermotec/research/maxtape_fr_insulating_foam_tape.json,placement,dropped,"[""pipe",
knowledge/thermotec/research/nuwave_4_zero_foil_faced_mlv.json,problem_keywords,dropped,"floors"", ""duct"", ""pipe""]",
knowledge/thermotec/research/nuwave_4_zero_foil_faced_mlv.json,problem_keywords,dropped,"four-zero"" fire indices in ceiling returns and service risers",
knowledge/thermotec/research/nuwave_4_zero_foil_faced_mlv.json,placement,dropped,"[""wall",
knowledge/thermotec/research/nuwave_acoustic_floor_underlay.json,placement,dropped,"[""floor",
knowledge/thermotec/research/nuwave_mass_loaded_vinyl_acoustic_barrier.json,problem_keywords,dropped,"between floors"", ""pipe"", ""duct""]",
knowledge/thermotec/research/nuwave_mass_loaded_vinyl_acoustic_barrier.json,placement,dropped,"[""wall",
knowledge/thermotec/research/nuwave_uv_treated_fence_mlv.json,placement,dropped,"[""wall",
knowledge/thermotec/research/nuwave_uv_treated_fence_mlv.json,placement,dropped,"shed""]",
knowledge/thermotec/research/nuwrap_5_acoustic_pipe_lagging.json,placement,dropped,"[""pipe",
knowledge/thermotec/research/nuwrap_xtraflex_acoustic_lagging.json,placement,dropped,"[""pipe",
knowledge/thermotec/research/rockwool_pipe_insulation.json,placement,dropped,"[""pipe",
knowledge/trade select/research/trade_select_aluminium_glass_foil_tape.json,placement,dropped,"[""roof",
knowledge/trade select/research/trade_select_ballistic_point_insulation_fastene.json,placement,dropped,"[""ceiling",
knowledge/trade select/research/trade_select_easyseal_insulation_flashing_tape.json,placement,dropped,"[""wall",
knowledge/trade select/research/trade_select_nc_thermal_break_strips.json,placement,dropped,"[""wall",
knowledge/trade select/research/trade_select_nc_thermal_break_strips_adhesive_backed.json,placement,dropped,"[""wall",
